<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,20060123,000000,218.8900000
GAZP,D,20060124,000000,224.0000000
GAZP,D,20060125,000000,228.3800000
GAZP,D,20060126,000000,224.4700000
GAZP,D,20060127,000000,228.7500000
GAZP,D,20060130,000000,216.0000000
GAZP,D,20060131,000000,219.0200000
GAZP,D,20060201,000000,223.9900000
GAZP,D,20060202,000000,221.5000000
GAZP,D,20060203,000000,221.0100000
GAZP,D,20060206,000000,220.4500000
GAZP,D,20060207,000000,220.5000000
GAZP,D,20060208,000000,221.0000000
GAZP,D,20060209,000000,222.0000000
GAZP,D,20060210,000000,222.0000000
GAZP,D,20060213,000000,219.9500000
GAZP,D,20060214,000000,219.8900000
GAZP,D,20060215,000000,219.7800000
GAZP,D,20060216,000000,220.0000000
GAZP,D,20060217,000000,226.5000000
GAZP,D,20060220,000000,228.2000000
GAZP,D,20060221,000000,225.0000000
GAZP,D,20060222,000000,225.3800000
GAZP,D,20060226,000000,227.3800000
GAZP,D,20060227,000000,225.2100000
GAZP,D,20060228,000000,218.7900000
GAZP,D,20060301,000000,217.9800000
GAZP,D,20060302,000000,218.9800000
GAZP,D,20060303,000000,228.9000000
GAZP,D,20060306,000000,231.9900000
GAZP,D,20060307,000000,223.8600000
GAZP,D,20060309,000000,219.2000000
GAZP,D,20060310,000000,217.1100000
GAZP,D,20060313,000000,223.3000000
GAZP,D,20060314,000000,220.3500000
GAZP,D,20060315,000000,221.2300000
GAZP,D,20060316,000000,220.7000000
GAZP,D,20060317,000000,229.3000000
GAZP,D,20060320,000000,225.7500000
GAZP,D,20060321,000000,224.4000000
GAZP,D,20060322,000000,225.1900000
GAZP,D,20060323,000000,226.5000000
GAZP,D,20060324,000000,229.9000000
GAZP,D,20060327,000000,231.6300000
GAZP,D,20060328,000000,228.4500000
GAZP,D,20060329,000000,228.6200000
GAZP,D,20060330,000000,230.4000000
GAZP,D,20060331,000000,230.1500000
GAZP,D,20060403,000000,230.5000000
GAZP,D,20060404,000000,231.5200000
GAZP,D,20060405,000000,238.5000000
GAZP,D,20060406,000000,243.3000000
GAZP,D,20060407,000000,250.2900000
GAZP,D,20060410,000000,268.7000000
GAZP,D,20060411,000000,262.5000000
GAZP,D,20060412,000000,264.7000000
GAZP,D,20060413,000000,263.4900000
GAZP,D,20060414,000000,267.9000000
GAZP,D,20060417,000000,269.4500000
GAZP,D,20060418,000000,271.6900000
GAZP,D,20060419,000000,278.2900000
GAZP,D,20060420,000000,276.1100000
GAZP,D,20060421,000000,280.1900000
GAZP,D,20060424,000000,286.9700000
GAZP,D,20060425,000000,285.0000000
GAZP,D,20060426,000000,309.3000000
