<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20060719,000000,203.9500000
ROSN,D,20060720,000000,203.2600000
ROSN,D,20060721,000000,202.0000000
ROSN,D,20060724,000000,201.9900000
ROSN,D,20060725,000000,202.6900000
ROSN,D,20060726,000000,203.1000000
ROSN,D,20060727,000000,203.5000000
ROSN,D,20060728,000000,202.8000000
ROSN,D,20060731,000000,202.6000000
ROSN,D,20060801,000000,202.7500000
ROSN,D,20060802,000000,201.9900000
ROSN,D,20060803,000000,200.7500000
ROSN,D,20060804,000000,200.9900000
ROSN,D,20060807,000000,200.3000000
ROSN,D,20060808,000000,196.8500000
ROSN,D,20060809,000000,198.2400000
ROSN,D,20060810,000000,200.0000000
ROSN,D,20060811,000000,201.2200000
ROSN,D,20060814,000000,198.0000000
ROSN,D,20060815,000000,199.5100000
ROSN,D,20060816,000000,201.0000000
ROSN,D,20060817,000000,199.8900000
ROSN,D,20060818,000000,199.4000000
ROSN,D,20060821,000000,198.0000000
ROSN,D,20060822,000000,199.9000000
ROSN,D,20060823,000000,199.7500000
ROSN,D,20060824,000000,200.0000000
ROSN,D,20060825,000000,202.2900000
ROSN,D,20060828,000000,201.3000000
ROSN,D,20060829,000000,200.8000000
ROSN,D,20060830,000000,199.5000000
ROSN,D,20060831,000000,197.7000000
ROSN,D,20060901,000000,200.3000000
ROSN,D,20060904,000000,199.5100000
ROSN,D,20060905,000000,201.9000000
ROSN,D,20060906,000000,201.0000000
ROSN,D,20060907,000000,200.7000000
ROSN,D,20060908,000000,201.3500000
ROSN,D,20060911,000000,199.8000000
ROSN,D,20060912,000000,200.5000000
ROSN,D,20060913,000000,201.0000000
ROSN,D,20060914,000000,201.0000000
ROSN,D,20060915,000000,204.2000000
ROSN,D,20060918,000000,205.0000000
ROSN,D,20060919,000000,207.2000000
ROSN,D,20060920,000000,215.0000000
ROSN,D,20060921,000000,209.9600000
ROSN,D,20060922,000000,205.8000000
ROSN,D,20060925,000000,202.0300000
ROSN,D,20060926,000000,205.1200000
ROSN,D,20060927,000000,207.2800000
ROSN,D,20060928,000000,214.5500000
ROSN,D,20060929,000000,211.9900000
ROSN,D,20061002,000000,211.3500000
ROSN,D,20061003,000000,208.0000000
ROSN,D,20061004,000000,209.3900000
ROSN,D,20061005,000000,212.5000000
ROSN,D,20061006,000000,212.9900000
ROSN,D,20061009,000000,213.2000000
ROSN,D,20061010,000000,213.9000000
ROSN,D,20061011,000000,212.5000000
ROSN,D,20061012,000000,211.9200000
ROSN,D,20061013,000000,214.0000000
ROSN,D,20061016,000000,213.0000000
ROSN,D,20061017,000000,218.5600000
ROSN,D,20061018,000000,225.5900000
ROSN,D,20061019,000000,226.5900000
ROSN,D,20061020,000000,224.8900000
ROSN,D,20061023,000000,223.7900000
ROSN,D,20061024,000000,222.5500000
ROSN,D,20061025,000000,229.3900000
ROSN,D,20061026,000000,230.3000000
ROSN,D,20061027,000000,234.2400000
ROSN,D,20061030,000000,225.7500000
ROSN,D,20061031,000000,229.8000000
ROSN,D,20061101,000000,231.2000000
ROSN,D,20061102,000000,229.0000000
ROSN,D,20061103,000000,231.3800000
ROSN,D,20061107,000000,231.6600000
ROSN,D,20061108,000000,231.9700000
ROSN,D,20061109,000000,238.4500000
ROSN,D,20061110,000000,249.5000000
ROSN,D,20061113,000000,247.8100000
ROSN,D,20061114,000000,248.5900000
ROSN,D,20061115,000000,247.4000000
ROSN,D,20061116,000000,243.4900000
ROSN,D,20061117,000000,242.4500000
ROSN,D,20061120,000000,240.5300000
ROSN,D,20061121,000000,244.5300000
ROSN,D,20061122,000000,239.7900000
ROSN,D,20061123,000000,241.8800000
ROSN,D,20061124,000000,241.7000000
ROSN,D,20061127,000000,241.5400000
ROSN,D,20061128,000000,240.2000000
ROSN,D,20061129,000000,242.9000000
ROSN,D,20061130,000000,240.4500000
ROSN,D,20061201,000000,237.7000000
ROSN,D,20061204,000000,238.7500000
ROSN,D,20061205,000000,242.0000000
ROSN,D,20061206,000000,247.9100000
ROSN,D,20061207,000000,246.9900000
ROSN,D,20061208,000000,248.5200000
ROSN,D,20061211,000000,246.3500000
ROSN,D,20061212,000000,245.4000000
ROSN,D,20061213,000000,242.8400000
ROSN,D,20061214,000000,245.5800000
ROSN,D,20061215,000000,249.0100000
ROSN,D,20061218,000000,246.0000000
ROSN,D,20061219,000000,240.6100000
ROSN,D,20061220,000000,242.4000000
ROSN,D,20061221,000000,242.8700000
ROSN,D,20061222,000000,243.1000000
ROSN,D,20061225,000000,241.0400000
ROSN,D,20061226,000000,241.9900000
ROSN,D,20061227,000000,243.6000000
ROSN,D,20061228,000000,243.9500000
ROSN,D,20061229,000000,243.8800000
ROSN,D,20070109,000000,227.0500000
ROSN,D,20070110,000000,227.0000000
ROSN,D,20070111,000000,227.9000000
ROSN,D,20070112,000000,226.0400000
ROSN,D,20070115,000000,240.4900000
ROSN,D,20070116,000000,234.2000000
ROSN,D,20070117,000000,232.3000000
ROSN,D,20070118,000000,234.5200000
ROSN,D,20070119,000000,237.8800000
ROSN,D,20070122,000000,238.5000000
ROSN,D,20070123,000000,236.5100000
ROSN,D,20070124,000000,237.6700000
ROSN,D,20070125,000000,239.5100000
ROSN,D,20070126,000000,237.9100000
ROSN,D,20070129,000000,235.5600000
ROSN,D,20070130,000000,236.2400000
ROSN,D,20070131,000000,234.7000000
ROSN,D,20070201,000000,238.3000000
ROSN,D,20070202,000000,239.8200000
ROSN,D,20070205,000000,239.2600000
ROSN,D,20070206,000000,239.8000000
ROSN,D,20070207,000000,238.6900000
ROSN,D,20070208,000000,232.8100000
ROSN,D,20070209,000000,233.9900000
ROSN,D,20070212,000000,226.2500000
ROSN,D,20070213,000000,229.2200000
ROSN,D,20070214,000000,228.9000000
ROSN,D,20070215,000000,226.5000000
ROSN,D,20070216,000000,226.3500000
ROSN,D,20070219,000000,226.4000000
ROSN,D,20070220,000000,226.2800000
ROSN,D,20070221,000000,232.0000000
ROSN,D,20070222,000000,236.3900000
ROSN,D,20070226,000000,234.8500000
ROSN,D,20070227,000000,227.5000000
ROSN,D,20070228,000000,221.5000000
ROSN,D,20070301,000000,211.0000000
ROSN,D,20070302,000000,211.5500000
ROSN,D,20070305,000000,201.5100000
ROSN,D,20070306,000000,204.1000000
ROSN,D,20070307,000000,212.5000000
ROSN,D,20070309,000000,217.9500000
ROSN,D,20070312,000000,213.5600000
ROSN,D,20070313,000000,213.9900000
ROSN,D,20070314,000000,205.7000000
ROSN,D,20070315,000000,207.4000000
ROSN,D,20070316,000000,209.6900000
ROSN,D,20070319,000000,215.9000000
ROSN,D,20070320,000000,213.8900000
ROSN,D,20070321,000000,216.3000000
ROSN,D,20070322,000000,216.0000000
ROSN,D,20070323,000000,218.1600000
ROSN,D,20070326,000000,219.3900000
ROSN,D,20070327,000000,216.0000000
ROSN,D,20070328,000000,216.3000000
ROSN,D,20070329,000000,217.4700000
ROSN,D,20070330,000000,216.2000000
ROSN,D,20070402,000000,217.5000000
ROSN,D,20070403,000000,217.0000000
ROSN,D,20070404,000000,216.2600000
ROSN,D,20070405,000000,215.9700000
ROSN,D,20070406,000000,215.4500000
ROSN,D,20070409,000000,215.1000000
ROSN,D,20070410,000000,213.8600000
ROSN,D,20070411,000000,214.0600000
ROSN,D,20070412,000000,217.8000000
ROSN,D,20070413,000000,230.2100000
ROSN,D,20070416,000000,234.6000000
ROSN,D,20070417,000000,229.2500000
ROSN,D,20070418,000000,227.1600000
