<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKMP,D,19990419,000000,6.1500000
RTKMP,D,19990420,000000,5.4500000
RTKMP,D,19990423,000000,5.4000000
RTKMP,D,19990426,000000,5.5000000
RTKMP,D,19990427,000000,5.0000000
RTKMP,D,19990429,000000,5.0000000
RTKMP,D,19990505,000000,6.0000000
RTKMP,D,19990506,000000,5.4000000
RTKMP,D,19990507,000000,7.3000000
RTKMP,D,19990512,000000,5.2000000
RTKMP,D,19990513,000000,6.1000000
RTKMP,D,19990518,000000,7.1500000
RTKMP,D,19990520,000000,7.3000000
RTKMP,D,19990521,000000,8.3000000
RTKMP,D,19990524,000000,8.7000000
RTKMP,D,19990526,000000,8.0000000
RTKMP,D,19990527,000000,8.5000000
RTKMP,D,19990528,000000,9.4400000
RTKMP,D,19990602,000000,8.0000000
RTKMP,D,19990609,000000,9.5000000
RTKMP,D,19990610,000000,9.9000000
RTKMP,D,19990611,000000,10.1500000
RTKMP,D,19990616,000000,10.7000000
RTKMP,D,19990617,000000,11.0300000
RTKMP,D,19990618,000000,11.6000000
RTKMP,D,19990621,000000,15.0000000
RTKMP,D,19990622,000000,12.0000000
RTKMP,D,19990623,000000,14.0000000
RTKMP,D,19990625,000000,12.0000000
RTKMP,D,19990628,000000,12.3900000
RTKMP,D,19990629,000000,12.5000000
RTKMP,D,19990630,000000,12.0000000
RTKMP,D,19990701,000000,13.0000000
RTKMP,D,19990702,000000,13.5000000
RTKMP,D,19990705,000000,16.4500000
RTKMP,D,19990706,000000,16.0000000
RTKMP,D,19990707,000000,15.9000000
RTKMP,D,19990708,000000,15.6000000
RTKMP,D,19990709,000000,16.0000000
RTKMP,D,19990713,000000,14.1000000
RTKMP,D,19990714,000000,15.0000000
RTKMP,D,19990715,000000,15.5000000
RTKMP,D,19990720,000000,13.0000000
RTKMP,D,19990721,000000,12.0000000
RTKMP,D,19990723,000000,12.5000000
RTKMP,D,19990727,000000,11.8000000
RTKMP,D,19990728,000000,11.5000000
RTKMP,D,19990729,000000,11.5000000
RTKMP,D,19990730,000000,11.0000000
RTKMP,D,19990802,000000,11.0100000
RTKMP,D,19990803,000000,11.4000000
RTKMP,D,19990805,000000,9.0500000
RTKMP,D,19990806,000000,11.0000000
RTKMP,D,19990809,000000,10.0000000
RTKMP,D,19990810,000000,10.0100000
RTKMP,D,19990811,000000,10.2500000
RTKMP,D,19990812,000000,10.2500000
RTKMP,D,19990813,000000,10.0000000
RTKMP,D,19990817,000000,10.0000000
RTKMP,D,19990818,000000,10.0000000
RTKMP,D,19990819,000000,10.2000000
RTKMP,D,19990820,000000,10.0600000
RTKMP,D,19990823,000000,11.4000000
RTKMP,D,19990825,000000,10.5000000
RTKMP,D,19990826,000000,9.8500000
RTKMP,D,19990827,000000,10.1000000
RTKMP,D,19990830,000000,9.2000000
RTKMP,D,19990831,000000,9.0200000
RTKMP,D,19990901,000000,9.9900000
RTKMP,D,19990902,000000,9.5100000
RTKMP,D,19990903,000000,9.8000000
RTKMP,D,19990906,000000,9.8000000
RTKMP,D,19990907,000000,10.4000000
RTKMP,D,19990908,000000,9.8000000
RTKMP,D,19990909,000000,9.7900000
RTKMP,D,19990914,000000,8.0000000
RTKMP,D,19990922,000000,8.0000000
RTKMP,D,19990923,000000,8.1000000
RTKMP,D,19990924,000000,8.0000000
RTKMP,D,19990928,000000,8.0000000
RTKMP,D,19991001,000000,8.0000000
RTKMP,D,19991006,000000,8.3000000
RTKMP,D,19991007,000000,8.0000000
RTKMP,D,19991008,000000,8.5000000
RTKMP,D,19991011,000000,8.5000000
RTKMP,D,19991012,000000,8.0000000
RTKMP,D,19991018,000000,8.0000000
RTKMP,D,19991025,000000,7.5000000
RTKMP,D,19991026,000000,7.8000000
RTKMP,D,19991027,000000,7.5000000
RTKMP,D,19991028,000000,7.3100000
RTKMP,D,19991029,000000,7.7000000
RTKMP,D,19991102,000000,8.4900000
RTKMP,D,19991104,000000,7.2600000
RTKMP,D,19991105,000000,8.1800000
RTKMP,D,19991109,000000,8.5900000
RTKMP,D,19991110,000000,9.1000000
RTKMP,D,19991111,000000,9.8000000
RTKMP,D,19991115,000000,9.8500000
RTKMP,D,19991116,000000,10.0000000
RTKMP,D,19991117,000000,10.5000000
RTKMP,D,19991119,000000,11.0000000
RTKMP,D,19991122,000000,11.3300000
RTKMP,D,19991123,000000,12.1800000
RTKMP,D,19991124,000000,11.2000000
RTKMP,D,19991125,000000,11.5000000
RTKMP,D,19991129,000000,10.5000000
RTKMP,D,19991130,000000,10.0000000
RTKMP,D,19991202,000000,11.9900000
RTKMP,D,19991206,000000,11.0000000
RTKMP,D,19991207,000000,10.0000000
RTKMP,D,19991208,000000,9.8000000
RTKMP,D,19991210,000000,9.4900000
RTKMP,D,19991214,000000,9.5000000
RTKMP,D,19991215,000000,10.4000000
RTKMP,D,19991216,000000,10.0000000
RTKMP,D,19991217,000000,10.5000000
RTKMP,D,19991220,000000,11.5300000
RTKMP,D,19991221,000000,12.2500000
RTKMP,D,19991222,000000,12.0200000
RTKMP,D,19991223,000000,12.7000000
RTKMP,D,19991224,000000,12.6000000
RTKMP,D,19991227,000000,16.6000000
RTKMP,D,19991228,000000,17.5000000
RTKMP,D,19991229,000000,17.1700000
RTKMP,D,20000105,000000,20.1000000
RTKMP,D,20000106,000000,22.4900000
RTKMP,D,20000110,000000,22.9800000
RTKMP,D,20000111,000000,21.1900000
RTKMP,D,20000112,000000,22.0000000
RTKMP,D,20000113,000000,22.5000000
RTKMP,D,20000114,000000,24.5000000
RTKMP,D,20000117,000000,22.6000000
RTKMP,D,20000118,000000,21.6000000
RTKMP,D,20000119,000000,20.0500000
RTKMP,D,20000120,000000,22.3000000
RTKMP,D,20000121,000000,23.8000000
RTKMP,D,20000124,000000,20.9000000
RTKMP,D,20000125,000000,22.5000000
RTKMP,D,20000126,000000,22.5000000
RTKMP,D,20000127,000000,22.6000000
RTKMP,D,20000128,000000,21.5100000
RTKMP,D,20000131,000000,20.3500000
RTKMP,D,20000201,000000,20.1300000
RTKMP,D,20000202,000000,21.3900000
RTKMP,D,20000203,000000,21.9500000
RTKMP,D,20000204,000000,21.3100000
RTKMP,D,20000207,000000,22.0000000
RTKMP,D,20000208,000000,22.7000000
RTKMP,D,20000209,000000,24.0000000
RTKMP,D,20000210,000000,23.0000000
RTKMP,D,20000211,000000,22.0100000
RTKMP,D,20000214,000000,22.8000000
RTKMP,D,20000215,000000,21.8500000
RTKMP,D,20000216,000000,22.2000000
RTKMP,D,20000217,000000,23.1000000
RTKMP,D,20000218,000000,23.1000000
RTKMP,D,20000221,000000,23.8900000
RTKMP,D,20000222,000000,24.1000000
RTKMP,D,20000223,000000,25.6000000
RTKMP,D,20000224,000000,28.7000000
RTKMP,D,20000225,000000,26.2500000
RTKMP,D,20000228,000000,25.7000000
RTKMP,D,20000229,000000,26.9000000
RTKMP,D,20000301,000000,27.3000000
RTKMP,D,20000302,000000,27.5000000
RTKMP,D,20000303,000000,27.4800000
RTKMP,D,20000306,000000,28.0000000
RTKMP,D,20000307,000000,31.0000000
RTKMP,D,20000309,000000,34.2000000
RTKMP,D,20000310,000000,39.5000000
RTKMP,D,20000313,000000,34.1000000
RTKMP,D,20000314,000000,38.5000000
RTKMP,D,20000315,000000,37.6000000
RTKMP,D,20000316,000000,36.0000000
RTKMP,D,20000317,000000,36.0300000
RTKMP,D,20000320,000000,35.0000000
RTKMP,D,20000321,000000,36.4000000
RTKMP,D,20000322,000000,37.2000000
RTKMP,D,20000323,000000,37.6100000
RTKMP,D,20000324,000000,41.1000000
RTKMP,D,20000327,000000,39.4000000
RTKMP,D,20000328,000000,37.2500000
RTKMP,D,20000329,000000,38.4500000
RTKMP,D,20000330,000000,36.0100000
RTKMP,D,20000331,000000,38.0000000
RTKMP,D,20000403,000000,36.8800000
RTKMP,D,20000404,000000,36.8000000
RTKMP,D,20000405,000000,33.5000000
RTKMP,D,20000406,000000,35.4000000
RTKMP,D,20000407,000000,34.0200000
RTKMP,D,20000410,000000,41.6500000
RTKMP,D,20000411,000000,37.0800000
RTKMP,D,20000412,000000,39.8500000
RTKMP,D,20000413,000000,38.3200000
RTKMP,D,20000414,000000,36.6000000
RTKMP,D,20000417,000000,32.0000000
RTKMP,D,20000418,000000,32.0000000
RTKMP,D,20000419,000000,32.6100000
RTKMP,D,20000420,000000,33.5600000
RTKMP,D,20000421,000000,35.0000000
RTKMP,D,20000424,000000,32.3000000
RTKMP,D,20000425,000000,35.1500000
RTKMP,D,20000426,000000,35.8500000
RTKMP,D,20000427,000000,34.5000000
RTKMP,D,20000428,000000,36.2000000
RTKMP,D,20000503,000000,36.5000000
RTKMP,D,20000504,000000,35.8000000
RTKMP,D,20000505,000000,36.0000000
RTKMP,D,20000506,000000,36.5000000
RTKMP,D,20000510,000000,34.1500000
RTKMP,D,20000511,000000,34.2000000
RTKMP,D,20000512,000000,33.5000000
RTKMP,D,20000515,000000,30.5000000
RTKMP,D,20000516,000000,31.3000000
RTKMP,D,20000517,000000,28.5200000
RTKMP,D,20000518,000000,29.5000000
RTKMP,D,20000519,000000,26.3100000
RTKMP,D,20000522,000000,24.5000000
RTKMP,D,20000523,000000,21.9800000
RTKMP,D,20000524,000000,22.0200000
RTKMP,D,20000525,000000,23.0000000
RTKMP,D,20000526,000000,24.5000000
RTKMP,D,20000529,000000,26.0000000
RTKMP,D,20000530,000000,26.0000000
RTKMP,D,20000531,000000,26.4000000
RTKMP,D,20000601,000000,26.5000000
RTKMP,D,20000602,000000,28.7900000
RTKMP,D,20000605,000000,27.0000000
RTKMP,D,20000606,000000,25.0000000
RTKMP,D,20000607,000000,25.6000000
RTKMP,D,20000608,000000,26.4100000
RTKMP,D,20000609,000000,26.5000000
RTKMP,D,20000613,000000,26.0000000
RTKMP,D,20000614,000000,25.0100000
RTKMP,D,20000615,000000,26.4800000
RTKMP,D,20000616,000000,25.7500000
RTKMP,D,20000619,000000,24.5000000
RTKMP,D,20000620,000000,22.5000000
RTKMP,D,20000621,000000,21.0000000
RTKMP,D,20000622,000000,22.5000000
RTKMP,D,20000626,000000,22.0000000
RTKMP,D,20000627,000000,20.0000000
RTKMP,D,20000628,000000,18.5000000
