"tradingitemid","pricingdate","priceopen","pricehigh","pricelow","pricemid","priceclose","pricebid","priceask","volume","adjustmentfactor","vwap","pacvertofeedpop"
2590360,2000-01-03 00:00:00,3.745535,4.017857,3.631697,3.996651,3.997768,3.995535,3.997767,133954786,28.0000000000,3.822856,561
2590360,2000-01-04 00:00:00,3.866071,3.950892,3.613840,3.659597,3.660714,3.658481,3.660714,127932000,28.0000000000,3.817856,561
2590360,2000-01-05 00:00:00,3.705357,3.948661,3.678571,3.713169,3.714285,3.712052,3.714285,194580428,28.0000000000,3.787857,561
2590360,2000-01-06 00:00:00,3.790178,3.821428,3.392857,3.393972,3.392857,3.392857,3.395088,191996000,28.0000000000,3.571428,561
2590360,2000-01-07 00:00:00,3.446428,3.607142,3.410714,3.551339,3.553571,3.549107,3.553571,115183572,28.0000000000,3.506071,561
2590360,2000-01-10 00:00:00,3.642857,3.651785,3.383928,3.492187,3.491071,3.491071,3.493302,126266000,28.0000000000,3.483214,561
2590360,2000-01-11 00:00:00,3.426340,3.549107,3.232142,3.313615,3.312500,3.312500,3.314731,110373214,28.0000000000,3.402857,561
2590360,2000-01-12 00:00:00,3.392857,3.410714,3.089285,3.114955,3.113840,3.113838,3.116071,244017312,28.0000000000,3.183928,561
2590360,2000-01-13 00:00:00,3.374442,3.526785,3.303571,3.454240,3.455357,3.453124,3.455357,258171200,28.0000000000,3.407500,561
2590360,2000-01-14 00:00:00,3.571428,3.651785,3.549107,3.585937,3.587054,3.584821,3.587052,97594000,28.0000000000,3.602142,561
2590360,2000-01-18 00:00:00,3.607142,3.785714,3.587054,3.713169,3.712054,3.712052,3.714285,114794428,28.0000000000,3.682500,561
2590360,2000-01-19 00:00:00,3.772321,3.883928,3.691964,3.804687,3.805804,3.803571,3.805802,149410786,28.0000000000,3.795357,561
2590360,2000-01-20 00:00:00,4.125000,4.339285,4.053571,4.054687,4.053571,4.053571,4.055802,457783200,28.0000000000,4.212500,561
2590360,2000-01-21 00:00:00,4.080357,4.080357,3.935268,3.974330,3.975447,3.973214,3.975445,123981214,28.0000000000,4.003928,561
2590360,2000-01-24 00:00:00,3.872768,4.026785,3.754464,3.795758,3.794642,3.794642,3.796874,110247214,28.0000000000,3.894642,561
2590360,2000-01-25 00:00:00,3.750000,4.040178,3.656250,4.007812,4.008928,4.006695,4.008928,124300428,28.0000000000,3.866785,561
2590360,2000-01-26 00:00:00,3.928571,4.078125,3.919642,3.931919,3.935268,3.930802,3.933035,91789572,28.0000000000,4.002857,561
2590360,2000-01-27 00:00:00,3.886161,4.035714,3.821428,3.930803,3.928571,3.928571,3.933035,85036000,28.0000000000,3.924285,561
2590360,2000-01-28 00:00:00,3.863840,3.959821,3.593750,3.630580,3.629464,3.629464,3.631695,105840000,28.0000000000,3.746428,561
2590360,2000-01-31 00:00:00,3.607142,3.709821,3.375000,3.704240,3.705357,3.703124,3.705357,175420000,28.0000000000,3.502500,561
2590360,2000-02-01 00:00:00,3.714285,3.750000,3.571428,3.579240,3.580357,3.578124,3.580357,79508786,28.0000000000,3.650000,561
2590360,2000-02-02 00:00:00,3.598214,3.647321,3.464285,3.527901,3.529018,3.526785,3.529017,116048786,28.0000000000,3.541785,561
2590360,2000-02-03 00:00:00,3.582590,3.723214,3.580357,3.688615,3.689732,3.687500,3.689731,118798428,28.0000000000,3.652142,561
2590360,2000-02-04 00:00:00,3.712054,3.928571,3.700892,3.856026,3.857142,3.854910,3.857142,106330000,28.0000000000,3.824285,561
2590360,2000-02-07 00:00:00,3.857142,4.080357,3.783482,4.077008,4.073661,4.073660,4.080357,110266786,28.0000000000,3.970713,561
2590360,2000-02-08 00:00:00,4.071428,4.147321,3.973214,4.100446,4.102678,4.098214,4.102678,102160786,28.0000000000,4.080357,561
2590360,2000-02-09 00:00:00,4.075892,4.183035,4.015625,4.021205,4.022321,4.020088,4.022321,74841214,28.0000000000,4.082142,561
2590360,2000-02-10 00:00:00,4.031250,4.066964,3.897321,4.054687,4.053571,4.053571,4.055802,75745572,28.0000000000,3.977142,561
2590360,2000-02-11 00:00:00,4.058035,4.075892,3.866071,3.882812,3.883928,3.881695,3.883928,53062800,28.0000000000,3.955357,561
2590360,2000-02-14 00:00:00,3.904018,4.138392,3.879464,4.137276,4.136161,4.136160,4.138392,91884786,28.0000000000,4.038928,561
2590360,2000-02-15 00:00:00,4.116071,4.283482,4.113840,4.248883,4.250000,4.247767,4.250000,121436000,28.0000000000,4.195357,561
2590360,2000-02-16 00:00:00,4.205357,4.218750,4.004464,4.072544,4.075892,4.071428,4.073660,94561572,28.0000000000,4.117499,561
2590360,2000-02-17 00:00:00,4.113840,4.125000,4.040178,4.102677,4.102678,4.100445,4.104910,72374428,28.0000000000,4.087500,561
2590360,2000-02-18 00:00:00,4.093750,4.120535,3.959821,3.974330,3.973214,3.973214,3.975445,58360428,28.0000000000,4.045357,561
2590360,2000-02-22 00:00:00,3.933035,4.176340,3.810268,4.070312,4.064732,4.069195,4.071428,105574000,28.0000000000,3.993214,561
2590360,2000-02-23 00:00:00,4.044085,4.250000,3.964285,4.150669,4.151785,4.149552,4.151785,118274786,28.0000000000,4.146071,561
2590360,2000-02-24 00:00:00,4.189732,4.254464,3.991071,4.110490,4.114397,4.113838,4.107142,94108000,28.0000000000,4.105000,561
2590360,2000-02-25 00:00:00,4.100447,4.178571,3.933035,3.943080,3.941964,3.941964,3.944195,62286000,28.0000000000,4.066428,561
2590360,2000-02-28 00:00:00,3.933035,4.107142,3.870535,4.043526,4.044642,4.042410,4.044642,82082000,28.0000000000,3.978571,561
2590360,2000-02-29 00:00:00,4.055804,4.187500,4.020090,4.094865,4.093750,4.093750,4.095981,92240428,28.0000000000,4.098928,561
2590360,2000-03-01 00:00:00,4.234375,4.716518,4.232142,4.652901,4.654018,4.651785,4.654017,269250688,28.0000000000,4.468214,561
